disease,herbs,therapy,diet,vata_effect,pitta_effect,kapha_effect
Acne,"Neem, Turmeric, Manjistha","Lepa, Udvarthana","Avoid oily foods, fruits","Balances skin moisture","Cools inflammation","Reduces oil secretion"
Addison Disease,"Ashwagandha, Shatavari, Bala","Abhyanga, Basti","Protein-rich, salt moderate","Strengthens adrenal function","Balances cortisol","Supports energy"
Aids,"Guduchi, Ashwagandha, Amalaki","Rasayana, Panchakarma","Nutritious, immune-boosting","Strengthens vitality","Reduces infections","Builds immunity"
Alcoholic Hepatitis,"Katuki, Bhringraj, Punarnava","Virechana, Basti","Light diet, avoid alcohol","Improves liver function","Cools liver inflammation","Detoxifies liver"
Allergy,"Haridra, Tulsi, Pippali","Nasya, Dhumapana","Avoid cold foods, warm spices","Clears respiratory tract","Reduces allergic response","Expels mucus"
Alzheimer Disease,"Brahmi, Shankhapushpi, Jatamansi","Shirodhara, Nasya","Brain foods, ghee, almonds","Calms nervous system","Cools brain tissue","Clears mental fog"
Anemia,"Amalaki, Punarnava, Draksha","Raktamokshana, Basti","Iron-rich, green vegetables","Improves circulation","Purifies blood","Enhances blood formation"
Anxiety,"Brahmi, Ashwagandha, Jatamansi","Shirodhara, Abhyanga","Warm milk, sattvic foods","Calms mind","Reduces mental heat","Clears heaviness"
Appendicitis,"Triphala, Guggulu, Shunthi","Basti, Virechana","Light liquid diet","Reduces vata obstruction","Cools inflammation","Clears blockage"
Aplastic Anemia,"Ashwagandha, Shatavari, Guduchi","Rasayana, Basti","Nutritious, protein-rich","Strengthens bone marrow","Balances blood production","Builds tissues"
Arthritis,"Shallaki, Guggulu, Rasna","Janu Basti, Abhyanga","Anti-inflammatory, warm foods","Lubricates joints","Reduces inflammation","Improves mobility"
Asthma,"Vasaka, Pushkarmool, Licorice","Nasya, Steam inhalation","Warm foods, avoid dairy","Opens airways","Reduces bronchial heat","Expels phlegm"
Bacterial Vaginosis,"Lodhra, Ashoka, Triphala","Yoni Pichu, Uttara Basti","Light diet, probiotics","Balances vaginal flora","Reduces infection","Clears discharge"
Benign Prostatic Hyperplasia,"Gokshura, Shilajit, Varuna","Basti, Abhyanga","High water, pumpkin seeds","Improves urine flow","Reduces enlargement","Clears obstruction"
Breast Cancer,"Ashwagandha, Guduchi, Kanchanar","Rasayana, Panchakarma","Nutritious, antioxidant-rich","Strengthens immunity","Reduces tumor heat","Detoxifies tissues"
Bronchial Asthma,"Vasaka, Kantakari, Bharangi","Vamana, Nasya","Warm liquids, honey","Clears airways","Reduces bronchial inflammation","Expels kapha"
Bronchitis,"Tulsi, Vasaka, Pippali","Nasya, Steam therapy","Warm soups, ginger tea","Opens bronchial passages","Reduces lung heat","Removes mucus"
Candidiasis,"Neem, Daruharidra, Triphala","Uttara Basti, Virechana","Probiotic-rich, low sugar","Balances microbial flora","Reduces fungal heat","Clears dampness"
Cancer,"Guduchi, Ashwagandha, Turmeric","Rasayana, Panchakarma","Easily digestible, nutritious","Strengthens life force","Cools tissue inflammation","Purifies body"
Celiac Disease,"Kutaja, Musta, Bilva","Deepana, Pachana","Gluten-free, easy to digest","Improves digestion","Reduces intestinal inflammation","Strengthens absorption"
Cellulitis,"Neem, Manjistha, Khadira","Lepa, Raktamokshana","Anti-inflammatory, fluids","Improves skin circulation","Reduces skin infection","Clears toxins"
Cervical Cancer,"Ashoka, Lodhra, Guduchi","Uttara Basti, Rasayana","Nutritious, immune-boosting","Strengthens reproductive tissues","Reduces cervical heat","Detoxifies system"
Chicken Pox,"Neem, Giloy, Manjistha","Lepa, Parisheka","Cooling foods, fluids","Balances skin temperature","Cools viral fever","Reduces itching"
Chikungunya,"Guduchi, Dashmool, Nirgundi","Abhyanga, Swedana","Light diet, warm fluids","Reduces joint pain","Cools fever","Improves mobility"
